original-domain,domain-name,issuer-name,issuer-country,cert-start,cert-end,cert-duration,fuzzer,http-active,https-active,dns-ns,dns-a,dns-mx,geoip-country,banner-http,ssdeep-score
bell.ca,erc.int.bell.ca,Entrust Inc.,US,2020-11-27,2021-11-27,365,original*,0,0,,,,,,
bell.ca,espace.int.bell.ca,Entrust Inc.,US,2020-11-27,2021-11-27,365,original*,0,0,,,,,,
bell.ca,fmls.int.bell.ca,Entrust Inc.,US,2020-11-27,2021-11-27,365,original*,0,0,,,,,,
bell.ca,mysite.int.bell.ca,Entrust Inc.,US,2020-11-27,2021-11-27,365,original*,0,0,,,,,,
bell.ca,QsspecialtyChannels.int.bell.ca,Entrust Inc.,US,2020-11-27,2021-11-27,365,original*,0,0,,,,,,
bell.ca,vns.bell.ca,Entrust Inc.,US,2020-11-02,2021-11-02,365,original*,1,1,,184.150.80.99,,,BigIP,0.0
bell.ca,micromarkets-staging.bell.ca,Entrust Inc.,US,2020-11-12,2021-10-21,343,original*,1,1,,184.150.80.54,,,BigIP,0.0
bell.ca,careerfair.bell.ca,Let's Encrypt,US,2020-11-26,2021-02-24,90,original*,1,1,,107.21.19.226,,,nginx,0.0
bell.ca,coffeechat.bell.ca,Let's Encrypt,US,2020-11-26,2021-02-24,90,original*,1,1,,34.238.46.163,,,openresty,0.0
bell.ca,P811CNFITS01.cccs811.ccaas.bell.ca,Entrust Inc.,US,2020-11-26,2021-11-26,365,original*,0,0,,,,,,
bell.ca,P811CNFITS02.cccs811.ccaas.bell.ca,Entrust Inc.,US,2020-11-26,2021-11-26,365,original*,0,0,,,,,,
bell.ca,P811VDAITS01.cccs811.ccaas.bell.ca,Entrust Inc.,US,2020-11-26,2021-11-26,365,original*,0,0,,,,,,
bell.ca,P811VDAITS02.cccs811.ccaas.bell.ca,Entrust Inc.,US,2020-11-26,2021-11-26,365,original*,0,0,,,,,,
bell.ca,ts.cccs811.ccaas.bell.ca,Entrust Inc.,US,2020-11-26,2021-11-26,365,original*,0,0,,,,,,
bell.ca,ic.cccs811.ccaas.bell.ca,Entrust Inc.,US,2020-11-26,2021-11-26,365,original*,0,0,,,,,,
bell.ca,P811CNFGWEB01.cccs811.ccaas.bell.ca,Entrust Inc.,US,2020-11-26,2021-11-26,365,original*,0,0,,,,,,
bell.ca,P811VDAGWEB01.cccs811.ccaas.bell.ca,Entrust Inc.,US,2020-11-26,2021-11-26,365,original*,0,0,,,,,,
bell.ca,simcoe-4.nfvi-r1.stratus.int.bell.ca,Entrust Inc.,US,2020-11-26,2021-11-26,365,original*,0,0,,,,,,
bell.ca,virgin-iva-en.int.bell.ca,Entrust Inc.,US,2020-11-25,2021-11-25,365,original*,0,0,,,,,,
bell.ca,virgin-iva-fr.int.bell.ca,Entrust Inc.,US,2020-11-25,2021-11-25,365,original*,0,0,,,,,,
bell.ca,hsvrsr01.bell.ca,Entrust Inc.,US,2020-11-25,2021-11-25,365,original*,0,0,,209.71.228.25,,,,
bell.ca,hsvrsr02.bell.ca,Entrust Inc.,US,2020-11-25,2021-11-25,365,original*,0,1,,209.71.214.18,,,,
bell.ca,businessdirectory.bell.ca,Entrust Inc.,US,2020-11-19,2021-11-19,365,original*,1,1,ns47.domaincontrol.com,23.99.91.63,east.smtp.exch083.serverdata.net,,Microsoft-IIS/10.0,0.0
bell.ca,bep.securitysolutions.bell.ca,Entrust Inc.,US,2020-10-16,2021-10-16,365,original*,0,1,!ServFail,184.150.84.42,,,,
bell.ca,micromarkets.bell.ca,Entrust Inc.,US,2020-11-12,2021-11-12,365,original*,1,1,,184.150.80.53,,,BigIP,0.0
bell.ca,ges2.bell.ca,Entrust Inc.,US,2020-10-16,2021-10-16,365,original*,0,0,,,,,,
bell.ca,www.ges2.bell.ca,Entrust Inc.,US,2020-10-16,2021-10-16,365,original*,0,1,!ServFail,204.101.198.46,,,,
bell.ca,ges.bell.ca,Entrust Inc.,US,2020-10-16,2021-10-16,365,original*,0,0,,,,,,
bell.ca,www.ges.bell.ca,Entrust Inc.,US,2020-10-16,2021-10-16,365,original*,0,1,!ServFail,184.150.84.45,,,,
bell.ca,fedportal.ges.bell.ca,Entrust Inc.,US,2020-10-16,2021-10-16,365,original*,0,1,!ServFail,204.101.198.47,,,,
bell.ca,callrecording.totalconnect.bell.ca,Entrust Inc.,US,2020-11-20,2021-12-19,394,original*,1,1,,15.222.179.41,,,nginx,0.0
bell.ca,enregistrementdappel.connexiontotale.bell.ca,Entrust Inc.,US,2020-11-20,2021-12-19,394,original*,1,1,,3.96.38.132,,,nginx,0.0
bell.ca,gasp-assets.int.bell.ca,Entrust Inc.,US,2020-11-24,2021-11-24,365,original*,0,0,,,,,,
bell.ca,BEAPP001.iptv.bell.ca,Entrust Inc.,US,2020-11-24,2021-11-24,365,original*,0,0,,10.2.120.17,,,,
bell.ca,TORO03BEAPPLB2.iptv.bell.ca,Entrust Inc.,US,2020-11-24,2021-11-24,365,original*,0,0,,,,,,
bell.ca,sapsm-qa.intranet.bell.ca,Entrust Inc.,US,2020-11-23,2021-11-23,365,original*,0,0,,,,,,
bell.ca,aws.bell.ca,Entrust Inc.,US,2020-11-23,2021-11-23,365,original*,0,1,,184.150.210.192,,,,
bell.ca,ccwfm72.int.bell.ca,Entrust Inc.,US,2020-11-23,2021-11-23,365,original*,0,0,,,,,,
bell.ca,911flex.bell.ca,Entrust Inc.,US,2020-11-20,2021-11-20,365,original*,1,1,,67.69.237.42,,,BigIP,0.0
bell.ca,dev.gestion-projets-contrat.int.bell.ca,Entrust Inc.,US,2020-11-20,2021-11-20,365,original*,0,0,,,,,,
